Instrument,Classification,H-S Number,Origin,Common classification,Relation
Lyre,chordophones,321.2,"England, Greece",stringed instruments,
Maguhu,chordophones,3,China,stringed instruments,
Mandobass,chordophones,3,,stringed instruments,
Mandola,chordophones,3,,stringed instruments,
Mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandolin-banjo,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandocello,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandola,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Bluegrass mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Electric mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Octave mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Resonator mandolin,chordophones,321.321-6 or 321.322-6,"Bashkortostan, Brazil, Germany, Greece, Italy, Japan, Portugal, Ukraine, United States, Venezuela",stringed instruments,
Mandolute,chordophones,3,,stringed instruments,
Mandora,chordophones,321.321,Central Europe,stringed instruments,
Mandore,chordophones,321.321,France,stringed instruments,
Marovany,chordophones,3,Madagascar,stringed instruments,
Mejoranera,chordophones,321.322,Panama,stringed instruments,
Mexican vihuela,chordophones,3,Mexico,stringed instruments,
Mohan veena,chordophones,3,India,stringed instruments,
Moraharpa,chordophones,,Sweden,stringed instruments,
Morin khuur,chordophones,3,"Mongolia, Tuva",stringed instruments,
Musical bow,chordophones,3,South Africa,stringed instruments,
Nyckelharpa,chordophones,321.322-71,Sweden,stringed instruments,
Octobass,chordophones,3,France,stringed instruments,
Oud,chordophones,321.321-6,"Armenia, Azerbaijan, Greece, Iran, Kurdistan, Saudi Arabia, Turkey",stringed instruments,
Paqin,chordophones,3,China,stringed instruments,
Piano,chordophones,3,Italy,stringed instruments,
Pianoforte,chordophones,3,Italy,stringed instruments,
Electric piano,chordophones,3,Italy,stringed instruments,
Fortepiano,chordophones,3,Italy,stringed instruments,
Pedal piano,chordophones,3,Italy,stringed instruments,
Pipa,chordophones,3,China,stringed instruments,
Piwancha,chordophones,3,Nepal,stringed instruments,
Pochette,chordophones,3,,stringed instruments,
Portuguese guitar,chordophones,3,Portugal,stringed instruments,
Psaltery,chordophones,3,Greece,stringed instruments,
Qanun,chordophones,3,"Armenia, Egypt, Greece, Saudi Arabia, Turkey",stringed instruments,
Qinqin,chordophones,3,China,stringed instruments,
Rabeca,chordophones,3,Brazil,stringed instruments,
Rajão,chordophones,3,Portugal,stringed instruments,
Ravanahatha,chordophones,4,"Sri Lanka, India",stringed instruments,
Rebab,chordophones,3,Afghanistan,stringed instruments,
Rebec,chordophones,321.21-71,"Italy, Switzerland",stringed instruments,
Requinto jarocho,chordophones,3,Mexico,stringed instruments,
Rubab,chordophones,3,"Afghanistan, Pakistan, Azerbaijan, India, Iran, Turkey, Iraq, Tajikistan, and Uzbekistan",stringed instruments,
Ruan,chordophones,3,China,stringed instruments,
Gaoyinruan,chordophones,3,China,stringed instruments,
Xiaoruan,chordophones,3,China,stringed instruments,
Zhongruan,chordophones,3,China,stringed instruments,
Daruan,chordophones,3,China,stringed instruments,
Diyinruan,chordophones,3,China,stringed instruments,
Rudra vina,chordophones,3,India,stringed instruments,
Sallameh,chordophones,3,Iran,stringed instruments,
Sanshin,chordophones,3,Okinawa,stringed instruments,
Santoor,chordophones,3,Iran,stringed instruments,
Sanxian,chordophones,3,China,stringed instruments,
Sarangi,chordophones,3,India,stringed instruments,
Šargija,chordophones,321.321,"Albania, Bosnia and Herzegovina, Croatia, Serbia",stringed instruments,
Sarod,chordophones,3,India,stringed instruments,
Saung,chordophones,3,Burma,stringed instruments,
Saw sam sai,chordophones,3,Thailand,stringed instruments,
Se,chordophones,3,China,stringed instruments,
Seul,chordophones,3,Korea,stringed instruments,
Setar,chordophones,321.321,"Azerbaijan, Iran",stringed instruments,
Shamisen,chordophones,3,Japan,stringed instruments,
Sintir,chordophones,3,"Algeria, Morocco",stringed instruments,
Sitar,chordophones,321.321,India,stringed instruments,
Sitarla,chordophones,3,Japan,stringed instruments,
Surbahar,chordophones,321.321,India,stringed instruments,
Swarmandal,chordophones,3,India,stringed instruments,
Tamburica,chordophones,321.321,Croatia/Serbia,stringed instruments,
Tambur,chordophones,3,"Iran, Kurdistan,",stringed instruments,
Tanpura,chordophones,3,India,stringed instruments,
Tar,chordophones,3,"Armenia, Azerbaijan, Iran, Kurdistan,",stringed instruments,
Tea chest bass,chordophones,3,Western Europe,stringed instruments,
Tembûr,chordophones,3,curdo-persiano,stringed instruments,
Theorbo,chordophones,321.321,Europe,stringed instruments,
Timple,chordophones,3,Canary Islands,stringed instruments,
Tiple,chordophones,321.322,"Colombia, Cuba, Peru, Puerto Rico, Spain",stringed instruments,
Tovshuur,chordophones,321.321,"Altai, Khakassia, Mongolia, Tuva",stringed instruments,
Tres,chordophones,321.322,Cuba,stringed instruments,
Tres Cubano,chordophones,321.322,Cuba,stringed instruments,
Tres Puerto Rico,chordophones,321.322,Cuba,stringed instruments,
Tricordia,chordophones,321.321,,stringed instruments,
Tro,chordophones,3,Cambodia,stringed instruments,
